cust_id,acct_amount,acct_cur,inv_amount,account_opened,last_transaction
FBAD3C91,99141.9,dollar,13468.4,29/05/2018,02/11/2019
BFC13E88,59863.77,euro,24569.47,25/04/2018,02/04/2018
5F6A2443,98047.16,dollar,76216.88,15/12/2018,12/11/2019
7A2879AF,83345.15,dollar,45162.06,30/08/2018,09/11/2019
13770971,92750.87,dollar,27963.45,16/08/2017,24/04/2019
EC10469C,73618.75,euro,48979.16,27/12/2018,08/06/2018
B5D367B5,44226.86,dollar,36572.69,16/09/2017,03/04/2019
AC91D689,99490.61,dollar,32150.64,01/08/2017,04/08/2019
625167AC,95315.71,dollar,66914.63,08/06/2017,03/07/2019
777A7F2C,52684.17,dollar,20970.35,27/10/2018,25/05/2019
3E51A395,21757.14,dollar,10582.94,04/06/2017,22/09/2018
2C5901B4,250046.76,euro,90442.57,05/02/2018,11/07/2019
D4C7E817,26585.87,dollar,20441.92,06/05/2018,08/12/2018
DEB87C87,64944.62,euro,31803.34,20/03/2018,15/11/2019
E52D4C7F,61795.89,euro,49387.29,22/05/2017,24/10/2019
987DC93E,35924.41,euro,14881.89,30/12/2018,06/12/2018
A07D5C92,99577.36,dollar,60408.99,17/11/2017,16/01/2020
078C654F,87312.64,dollar,66531.16,14/04/2017,05/08/2018
807465A4,28827.59,dollar,14585.75,20/04/2017,31/07/2018
8D08495A,89138.52,dollar,60798.23,08/08/2018,05/02/2019
C9FB0E86,88682.34,euro,26166.11,19/05/2018,06/08/2019
296A9395,34679.6,euro,28459.96,24/12/2017,19/02/2019
F2158F66,84132.1,euro,23714.06,07/11/2017,08/11/2018
33CA2B76,75508.61,dollar,27008.2,16/11/2017,03/03/2019
EEBD980F,57838.49,euro,50814.83,08/12/2018,04/01/2020
014E0511,70272.97,dollar,65969.8,09/02/2019,22/05/2019
0B44C3F8,33984.87,dollar,31395,10/04/2018,28/09/2019
CEC1CAE5,92169.14,dollar,77896.86,26/11/2017,08/10/2018
4C7F8638,21942.37,dollar,11715.24,14/07/2018,02/02/2019
A81D31B3,74010.15,dollar,48787.47,02/06/2018,12/09/2018
93A17007,40651.36,dollar,9387.87,28/05/2017,08/03/2019
E961CA44,27907.16,dollar,10967.69,23/10/2017,11/07/2019
