vid,make,model,year,fuel_type,owner
161,TOYOTA,SIENNA,2018,GASOLINE,MCCAB XIV CORP.
6434,TOYOTA,CAMRY,2014,HYBRID,CHITOWN CAB INC # II
5949,TOYOTA,PRIUS,2013,HYBRID,R & J CAB CO
1338,FORD,ESCAPE,2012,HYBRID,KILLER DOG CAB CORP
1855,DODGE,CARAVAN,2016,FLEX FUEL,FTELIA TAXI INC
5188,TOYOTA,SIENNA,2019,GASOLINE,"JBL EXPRESS II, INC."
2854,FORD,ESCAPE,2012,HYBRID,"CHICAGO POLO XIV, INC."
3920,TOYOTA,CAMRY,2011,HYBRID,G & A CAB CORP
4102,FORD,FUSION,2018,HYBRID,ADAMS TAXI LLC
3653,FORD,ESCAPE,2012,HYBRID,BLUE EYES CAB CORP.
446,TOYOTA,COROLLA,2016,GASOLINE,AFSHAR TAXICAB CORP.
470,TOYOTA,CAMRY,2015,HYBRID,MCCAB VIII CORP.
3044,FORD,ESCAPE,2012,HYBRID,"CHICAGO POLO XV, INC."
1328,FORD,ESCAPE,2012,HYBRID,KILLER DOG CAB CORP
146,TOYOTA,PRIUS,2013,HYBRID,SABINA CAB INC.
861,TOYOTA,CAMRY,2014,HYBRID,NECT 34 LLC
6589,TOYOTA,CAMRY,2018,HYBRID,TARAR MOTORS INC
593,VPG,MV-1,2012,COMPRESSED NATURAL GAS,SLSJETS III CAB CORP.
223,FORD,FUSION,2014,HYBRID,FLORINA INC.
1345,TOYOTA,PRIUS,2014,HYBRID,CORPORAL CAB CO
1810,TOYOTA,CAMRY,2017,HYBRID,RUBEN TRANS INC.
2405,DODGE,CARAVAN,2016,GASOLINE,AVENUE TRANSPORTATION INC
1428,TOYOTA,CAMRY,2017,HYBRID,TAXI 4 YOU INC
5289,TOYOTA,CAMRY,2015,HYBRID,SUAD & DEAN INC
1238,TOYOTA,CAMRY,2016,HYBRID,YC21 LLC
1617,TOYOTA,PRIUS,2016,HYBRID,AMPLE SUN CAB CORP.
1840,TOYOTA,RAV4,2013,GASOLINE,"J.R.J. EXPRESS, INC."
3271,FORD,FUSION,2019,HYBRID,ARES TAXI INC
1497,TOYOTA,CAMRY,2013,HYBRID,MIL'S ENTERPRIESES INC
1581,TOYOTA,CAMRY,2015,HYBRID,ABDULLAH CAB CO
6908,TOYOTA,PRIUS,2014,HYBRID,TEKESTE CORP.
167,TOYOTA,CAMRY,2011,HYBRID,MCCAB VI CORP.
2392,TOYOTA,CAMRY,2013,HYBRID,JUHI INC
3229,TOYOTA,PRIUS,2012,HYBRID,3229 TAXI CORP.
6475,TOYOTA,CAMRY,2016,HYBRID,VALASIA  CAB CO.
1869,FORD,ESCAPE,2012,HYBRID,SLSJETS IV CAB CORP.
1046,TOYOTA,SIENNA,2019,GASOLINE,NEWOSBAR INC
5813,TOYOTA,PRIUS,2015,HYBRID,"TAXI MEDALLION GROUP, LLC - SERIES I"
6288,TOYOTA,PRIUS,2015,HYBRID,"TAXI MEDALLION GROUP, LLC - SERIES I"
2715,TOYOTA,SIENNA,2019,GASOLINE,OTUMFOU CORP.
6219,TOYOTA,PRIUS,2012,HYBRID,GREEN SAGITTARIUS INC
5970,TOYOTA,PRIUS,2013,HYBRID,SST CAB CO
5563,TOYOTA,CAMRY,2013,HYBRID,ANS TAXI INC
4787,TOYOTA,PRIUS,2014,HYBRID,RENY CAB CO
771,FORD,ESCAPE,2012,HYBRID,"CHICAGO POLO XI, INC."
3835,TOYOTA,CAMRY,2013,HYBRID,FIRST KARACHI INC
3,TOYOTA,CAMRY,2019,HYBRID,YC1 LLC
6506,FORD,ESCAPE,2012,HYBRID,EKB TAXI LLC
6758,TOYOTA,CAMRY,2014,HYBRID,FAMINA INC.
1365,TOYOTA,CAMRY,2013,HYBRID,BACHCHA CORP
1068,TOYOTA,CAMRY,2014,HYBRID,ARM TAXI INC.
1597,TOYOTA,PRIUS,2013,HYBRID,TURNER CAB CO
1216,TOYOTA,CAMRY,2011,HYBRID,ES TAXI CORP.
4009,TOYOTA,PRIUS,2013,HYBRID,GHEDAM TRANS INC
101,TOYOTA,CAMRY,2016,HYBRID,J.B. 'S TAXI INC.
468,TOYOTA,RAV4,2019,HYBRID,M ASANTE INC.
3616,TOYOTA,CAMRY,2013,HYBRID,USMAN CAB CO
2173,TOYOTA,PRIUS,2014,HYBRID,IMAGE EXPRESS INC
5032,TOYOTA,CAMRY,2014,HYBRID,"FIROZ CAB CO, INC"
2722,TOYOTA,SIENNA,2018,GASOLINE,ORIENT TAXI INC.
1400,TOYOTA,CAMRY,2012,HYBRID,"SUFIAN, INC."
3648,TOYOTA,SIENNA,2019,GASOLINE,KOBE'S CAB INC.
1449,FORD,C-MAX,2013,HYBRID,OIA CAB CORP.
2584,NISSAN,PATHFINDER,2014,HYBRID,MELLOTONE CAB LTD
3993,TOYOTA,CAMRY,2013,HYBRID,"KADSIA, INC."
4904,TOYOTA,RAV4,2017,HYBRID,JOLY CAB CO
357,TOYOTA,SIENNA,2018,GASOLINE,MCCAB XIV CORP.
11,TOYOTA,SIENNA,2013,GASOLINE,ZUBI INC.
3290,TOYOTA,CAMRY,2016,HYBRID,"UNIVERSAL TRANSIT, INC."
5064,TOYOTA,PRIUS,2013,HYBRID,ALEX B CAB CORP
2992,TOYOTA,CAMRY,2011,HYBRID,GATEWAY CAB CO
4436,TOYOTA,PRIUS,2014,HYBRID,HUDSON CAB CORP.
1515,TOYOTA,CAMRY,2015,HYBRID,FIRST CLASS TAXI CAB INC
3588,TOYOTA,CAMRY,2014,HYBRID,"WAHID, CORP."
1528,TOYOTA,PRIUS,2013,HYBRID,CH. TAXI I CORP.
2462,TOYOTA,SIENNA,2020,GASOLINE,PARK WEST EXPRESS INC
2732,FORD,ESCAPE,2012,HYBRID,BLUE EYES CAB CORP.
2315,DODGE,CARAVAN,2010,FLEX FUEL,MADJID R. GARIBI
4917,TOYOTA,SIENNA,2019,GASOLINE,"I TAXI, INC."
1859,TOYOTA,SIENNA,2020,GASOLINE,HNA 4 CORP
6741,TOYOTA,CAMRY,2014,HYBRID,"HARRIS 6741, INC."
3023,TOYOTA,CAMRY,2014,HYBRID,PAK-AMERICAN EXPRESS INC
4093,TOYOTA,PRIUS,2014,HYBRID,PADI INC
4965,TOYOTA,CAMRY,2015,HYBRID,BENGAL CAB CORPORATION
4834,FORD,ESCAPE,2012,HYBRID,UNAISHA INC.
5974,TOYOTA,CAMRY,2014,HYBRID,PJ CAB CO
32,NISSAN,ALTIMA,2011,HYBRID,H. H. JAFFRI INC.
5079,TOYOTA,CAMRY,2012,HYBRID,"JBL EXPRESS II, INC."
1761,TOYOTA,CAMRY,2014,GASOLINE,S. BAIG CORP.
2723,TOYOTA,SIENNA,2018,GASOLINE,SIKA INC.
2478,TOYOTA,PRIUS,2013,HYBRID,SMC CAB CORP.
869,TOYOTA,CAMRY,2012,HYBRID,MEDALLION FUNDING CHICAGO CORP II
5861,TOYOTA,PRIUS,2014,HYBRID,LUCKY SEVEN CHICAGO THREE INC.
4046,TOYOTA,CAMRY,2014,HYBRID,CHICAGO-WIDE CORPORATION
6735,TOYOTA,CAMRY,2016,HYBRID,TAXI MEDALLION GROUP LLC-SERIES 35
839,TOYOTA,CAMRY,2013,HYBRID,"TRANS EURO, INC."
3059,TOYOTA,CAMRY,2014,HYBRID,PEACE INC.
4663,TOYOTA,SIENNA,2015,GASOLINE,ADAM INC.
4209,TOYOTA,PRIUS,2017,HYBRID,DANNY S JADOU
2015,TOYOTA,CAMRY,2013,HYBRID,SUKH CORP.
3523,NISSAN,ALTIMA,2011,HYBRID,DELTA TAXI CAB
5328,TOYOTA,PRIUS,2015,HYBRID,NORTH KING CAB COMPANY
15,FORD,ESCAPE,2012,HYBRID,KING 12 INC
847,FORD,ESCAPE,2012,HYBRID,"SHAUN LOVES CHICAGO, INC."
1606,FORD,ESCAPE,2012,GASOLINE,SCHATZI CAB CO
1874,TOYOTA,CAMRY,2012,HYBRID,CHANDNI CAB COMPANY
6751,TOYOTA,CAMRY,2017,HYBRID,TAXI MEDALLION GROUP LLC-SERIES 37
1933,TOYOTA,CAMRY,2015,HYBRID,MILOS CAB CORP
4770,TOYOTA,RAV4,2018,GASOLINE,"RASBOL, INC."
4124,FORD,ESCAPE,2012,HYBRID,"LUCKY SEVEN CHICAGO ONE, INC."
5294,TOYOTA,CAMRY,2014,HYBRID,ARCTIC INC
782,FORD,ESCAPE,2012,HYBRID,BLUE EYES CAB CORP.
4666,TOYOTA,PRIUS,2014,HYBRID,MCCAB XVI CORP.
5363,TOYOTA,CAMRY,2013,HYBRID,AMEEN CAB INC.
5115,TOYOTA,PRIUS,2012,HYBRID,UNIQUE CAB CO
2562,FORD,FUSION,2018,HYBRID,MICHIGAN AVE CAB LLC
353,DODGE,CARAVAN,2016,FLEX FUEL,MCCAB XXIII CORP.
4907,FORD,ESCAPE,2012,HYBRID,K L S TRANS INC
1053,TOYOTA,CAMRY,2019,HYBRID,UMER MOTEN INC
3707,TOYOTA,CAMRY,2014,HYBRID,AVEKO INC
4913,TOYOTA,CAMRY,2019,HYBRID,MBD CAB CO
4631,TOYOTA,CAMRY,2013,HYBRID,LEE CAB CO
2199,TOYOTA,CAMRY,2015,HYBRID,AEE'S CORP
1201,TOYOTA,CAMRY,2018,HYBRID,OMER EXPRESS INC.
6940,TOYOTA,CAMRY,2014,HYBRID,SKI CORP
6370,TOYOTA,CAMRY,2018,HYBRID,GELEB INC ILL
1704,FORD,ESCAPE,2012,HYBRID,GEE GEE INC
2835,TOYOTA,CAMRY,2013,HYBRID,FULL MOON CAB COMPANY
1899,VPG,MV-1,2014,COMPRESSED NATURAL GAS,AQUA ZONE CAB CO.
4826,TOYOTA,PRIUS,2016,HYBRID,"LUCKY SEVEN CHICAGO TWO, INC."
4285,NISSAN,ALTIMA,2011,HYBRID,CYPRUS CAB CO
2826,TOYOTA,CAMRY,2016,HYBRID,UNIK 1 CORP
5478,TOYOTA,CAMRY,2013,HYBRID,EF ENTERPRISES INC.
1877,TOYOTA,CAMRY,2012,HYBRID,STREETS OF CHICAGO TAXI CO
4518,TOYOTA,CAMRY,2013,HYBRID,DEBESAI CORP.
3888,TOYOTA,RAV4,2016,GASOLINE,A C C TAXI CO
5219,TOYOTA,CAMRY,2011,HYBRID,ABUSHARIFEH CAB CO
2626,TOYOTA,PRIUS,2015,HYBRID,SHAHI INC
5394,TOYOTA,PRIUS,2011,HYBRID,A&P TRANSPORTATION INC.
3695,TOYOTA,PRIUS,2015,HYBRID,W CITY CAB LLC
2872,TOYOTA,CAMRY,2013,HYBRID,"CHICAGO MEDALLION NINE, LLC"
1502,TOYOTA,CAMRY,2011,HYBRID,"EAGLE EXPRESS, INC."
2999,TOYOTA,SIENNA,2015,GASOLINE,AMRO H INC
3848,TOYOTA,CAMRY,2016,HYBRID,CHICAGO MEDALLION ONE LLC.
2955,TOYOTA,CAMRY,2016,HYBRID,A V CAB CORP
4676,TOYOTA,SIENNA,2019,GASOLINE,ARIO CAB INC.
156,TOYOTA,PRIUS,2013,HYBRID,RAPHEW AZEEZ
6881,NISSAN,ALTIMA,2011,HYBRID,MOMO LLC
1767,TOYOTA,SIENNA,2020,GASOLINE,"MARGA ZORA, CORP."
926,TOYOTA,PRIUS,2014,HYBRID,JOHNS CABS CORP.
2689,VPG,MV-1,2014,GASOLINE,LUCKY 7 CAB COMPANY
2264,TOYOTA,PRIUS,2013,HYBRID,MARU CORP
137,TOYOTA,CAMRY,2011,HYBRID,MCCAB VI CORP.
2614,TOYOTA,CAMRY,2014,HYBRID,ZULA EXPRESS INC.
3796,TOYOTA,CAMRY,2013,HYBRID,ROYA CAB CO
1329,TOYOTA,CAMRY,2013,HYBRID,IMRAN & ANWER CORPORATION
654,TOYOTA,CAMRY,2015,HYBRID,BLISS TAXI INC.
1303,FORD,FUSION,2017,HYBRID,BOLISH INC
1141,FORD,FUSION,2017,GASOLINE,YC19 LLC
3045,TOYOTA,CAMRY,2012,HYBRID,JAGANJAC TAXI CORP
4356,TOYOTA,RAV4,2018,HYBRID,F-15 INC
610,TOYOTA,CAMRY,2013,HYBRID,JUSTIN LEVY CAB CORP.
1627,TOYOTA,CAMRY,2012,HYBRID,WHITE ROSE CHICAGO CORP
3597,TOYOTA,SIENNA,2020,GASOLINE,MEHDIHADI INC.
6911,TOYOTA,PRIUS,2013,HYBRID,SAHIB TAXI INC
2438,TOYOTA,CAMRY,2016,HYBRID,RED ROSE CORP
1789,TOYOTA,CAMRY,2014,HYBRID,SKOKIE CAB CO.
3418,TOYOTA,SIENNA,2018,GASOLINE,JHAPS TAXI CORP
5287,FORD,FUSION,2013,HYBRID,HUMZA CAB CO
716,TOYOTA,CAMRY,2014,HYBRID,AB TAXI COMPANY
27,TOYOTA,PRIUS,2014,HYBRID,ROADWAY CAB CO
4425,TOYOTA,CAMRY,2015,HYBRID,CHICAGO MEDALLION THREE LLC.
4572,TOYOTA,CAMRY,2015,HYBRID,ROOBLE CORP
177,TOYOTA,PRIUS,2012,HYBRID,ANDREW AND AUDREY CAB CORP.
1083,TOYOTA,RAV4,2018,GASOLINE,1083 NEW EXPRESS INC
1670,TOYOTA,CAMRY,2015,HYBRID,AZITA CAB CORP
2318,TOYOTA,CAMRY,2012,HYBRID,J J CHICAGO INC
2800,HYUNDAI,ELANTRA,2018,GASOLINE,ALTHERAS CAB CORP
2592,VPG,MV-1,2014,FLEX FUEL,WIL-MAR CAB CO
2216,TOYOTA,CAMRY,2016,HYBRID,VISTA CAB CO
2748,TOYOTA,PRIUS,2013,HYBRID,GRAND CAB COMPANY
205,TOYOTA,CAMRY,2015,HYBRID,"RF 1, INC."
1556,TOYOTA,PRIUS,2013,HYBRID,ROCKY MOUNTAIN CAB CO
1658,FORD,ESCAPE,2012,HYBRID,SNOWFALL II HACKING CORP
4800,TOYOTA,CAMRY,2013,HYBRID,SAMINA EXPRESS INC.
2406,TOYOTA,PRIUS,2012,HYBRID,HASINA CORP
1854,TOYOTA,CAMRY,2019,HYBRID,KRISHA EXPRESS INC.
3450,MAZDA,CX5,2014,GASOLINE,"OJ 138, CORP."
4000,TOYOTA,CAMRY,2012,HYBRID,SHAWN CAB CO
6647,FORD,ESCAPE,2011,HYBRID,R & J CAB CO
6449,TOYOTA,CAMRY,2017,GASOLINE,SHAKKY & KAFE INC
2874,TOYOTA,CAMRY,2012,HYBRID,ROAD RUNNER TAXI INC
4927,FORD,ESCAPE,2012,HYBRID,SLSJETS V CAB CORP.
5959,TOYOTA,SIENNA,2018,GASOLINE,MYKONOS CAB CORP.
4838,FORD,ESCAPE,2011,HYBRID,"FAISALABAD TRANS, INC."
2029,TOYOTA,CAMRY,2013,HYBRID,"JIANYU TRANS, INC."
3339,TOYOTA,CAMRY,2015,HYBRID,SETARE 2 INC
3650,NISSAN,SENTRA,2019,GASOLINE,CITY TAXI INC.
4033,NISSAN,SENTRA,2019,GASOLINE,ANY CAB CORP.
2932,TOYOTA,PRIUS,2012,HYBRID,PEACH CAPITAL CORP
3285,FORD,ESCAPE,2012,HYBRID,BROWN EYES CAB CORP.
6857,TOYOTA,SIENNA,2019,GASOLINE,RUMAYSA CORP.
4322,TOYOTA,CAMRY,2016,HYBRID,AMEER TAXI CORP
609,TOYOTA,CAMRY,2014,HYBRID,NEW LIGHT CAB INC
84,TOYOTA,CAMRY,2012,HYBRID,MCCAB XX CORP.
6503,TOYOTA,CAMRY,2015,HYBRID,N AND S TAXI INC.
3387,TOYOTA,CAMRY,2015,HYBRID,SABIR'S CORP
1827,KIA,SOUL,2016,GASOLINE,PARK CITY CAB CO
2983,TOYOTA,RAV4,2017,HYBRID,WINDY CITY TAXICAB INC
2781,NISSAN,ALTIMA,2011,HYBRID,JNR III INC.
5174,NISSAN,ALTIMA,2011,HYBRID,BIRCHWOOD TAXI LLC
5118,TOYOTA,CAMRY,2014,HYBRID,REET CORPORATION
5773,TOYOTA,PRIUS,2014,HYBRID,FOUR STAR TAXI CORP.
4337,FORD,C-MAX,2013,HYBRID,GREENWICH CAB CORP.
6665,TOYOTA,PRIUS,2014,HYBRID,SST CAB CO
4377,TOYOTA,CAMRY,2014,HYBRID,CHICAGO-AMERICAN TAXICAB INC
457,TOYOTA,CAMRY,2012,HYBRID,NABIL EXPRESS INC.
1026,TOYOTA,CAMRY,2014,HYBRID,BRANDON INC.
4740,TOYOTA,PRIUS,2017,HYBRID,KOKOB CAB CO.
2153,TOYOTA,CAMRY,2013,HYBRID,CHICAGO MEDALLION ONE LLC.
2363,TOYOTA,CAMRY,2015,HYBRID,SHANTI CORPORATION
3936,TOYOTA,CAMRY,2012,HYBRID,SAHOTA CAB CO
2206,DODGE,CARAVAN,2012,FLEX FUEL,PERSISTENCE TAXI LLC
784,FORD,ESCAPE,2012,HYBRID,GREEN EYES CAB CORP.
5366,TOYOTA,CAMRY,2014,HYBRID,SHAD EXPRESS INC.
3882,TOYOTA,CAMRY,2014,HYBRID,LATAS CAB CO
994,TOYOTA,PRIUS,2014,HYBRID,MAMA FOUR CAB CORP.
6736,TOYOTA,CAMRY,2017,HYBRID,TAXI MEDALLION GROUP LLC - SERIES 36
4721,TOYOTA,PRIUS,2011,HYBRID,NOAH AND NETSNET CORP
5383,TOYOTA,PRIUS,2012,HYBRID,MNMS & EB CORP
5182,TOYOTA,RAV4,2015,GASOLINE,MEKONNEN CORP.
1247,TOYOTA,CAMRY,2017,GASOLINE,MAKENA INC
282,FORD,ESCAPE,2011,HYBRID,GUINEA CHICAGO INC
3916,TOYOTA,CAMRY,2016,GASOLINE,ALADIN TAXICAB INC
404,DODGE,CARAVAN,2016,FLEX FUEL,MEDALLION FUNDING CHICAGO CORP IV
1939,TOYOTA,SIENNA,2019,GASOLINE,AHAD EXP INC.
1521,TOYOTA,RAV4,2019,HYBRID,SOLI CORP
152,FORD,ESCAPE,2012,HYBRID,"TYLER CRAZY ABOUT CHICAGO, INC."
9,TOYOTA,CAMRY,2017,HYBRID,YC2 LLC
5186,TOYOTA,RAV4,2019,HYBRID,ASK TEHRAN CAB CO.
3866,DODGE,CARAVAN,2016,FLEX FUEL,ANDREW AND STEVEN CAB CORP.
5423,TOYOTA,COROLLA,2016,GASOLINE,AREES CAB INC
3639,DODGE,GRAND CARAVAN,2017,GASOLINE,CHICAGO MEDALLION TEN LLC
3746,TOYOTA,PRIUS,2012,HYBRID,BAFSH INC
1555,TOYOTA,PRIUS,2013,HYBRID,CH. TAXI I CORP.
761,TOYOTA,PRIUS,2013,HYBRID,JERRY & SEBLE CAB COMPANY
6074,TOYOTA,SCION,2012,GASOLINE,AMERICAN WINNER TAXTCAB INC
5226,TOYOTA,RAV4,2014,GASOLINE,AMMKO CAB CO
2067,DODGE,GRAND CARAVAN,2018,FLEX FUEL,HADEEL TRANS INC
4136,TOYOTA,SIENNA,2020,GASOLINE,KINGSLEY TRANSPORATATION CO.
6044,FORD,ESCAPE,2012,HYBRID,ALEXANDRA SCHOOL CORP.
1314,TOYOTA,CAMRY,2016,HYBRID,AL-MEDINA ENTERPRISES INC.
2225,TOYOTA,PRIUS,2014,HYBRID,ANDYKIM TRANS INC
245,FORD,ESCAPE,2011,HYBRID,USSR EXPRESS INC
3675,TOYOTA,CAMRY,2017,HYBRID,M. Y. TRANS INC
1985,TOYOTA,PRIUS,2012,HYBRID,MEREB CAB CORP
2694,TOYOTA,SIENNA,2017,GASOLINE,ANAS CAB CO
5436,TOYOTA,RAV4,2016,HYBRID,KENDOSKI GLOBAL LLC
5113,TOYOTA,PRIUS,2014,HYBRID,"CHICAGO POLO VI, INC."
2515,NISSAN,ALTIMA,2016,GASOLINE,CHICAGO CAB 2 CORP.
3527,TOYOTA,SCION,2012,GASOLINE,"HAGHIGHAT TRANSPORT, INC."
5061,TOYOTA,PRIUS,2013,HYBRID,AG 1 CORPORATION
4629,FORD,ESCAPE,2011,HYBRID,HUMIDITY II HACKING CORP.
3477,TOYOTA,PRIUS,2015,HYBRID,GHANA CAN INC
3568,TOYOTA,CAMRY,2014,HYBRID,"AIH, CORP."
4853,TOYOTA,PRIUS,2015,HYBRID,FAIR HEAVENS TAXI INC.
1426,FORD,ESCAPE,2012,HYBRID,SNOWSTORM II HACKING CORP.
4482,TOYOTA,PRIUS,2013,HYBRID,"ALDIN 2, CORP"
4397,TOYOTA,CAMRY,2016,HYBRID,SIMNY CAB INC
6066,TOYOTA,CAMRY,2013,HYBRID,RAFEY INC
3529,TOYOTA,SIENNA,2020,GASOLINE,SABCA CAB CORP.
3980,TOYOTA,SIENNA,2019,GASOLINE,YAOLAB INVESTEMENTS INC
3433,TOYOTA,RAV4,2016,HYBRID,FISHER CAB CO
6670,TOYOTA,PRIUS,2015,HYBRID,"POLLOB, INC."
3930,VPG,MV-1,2014,GASOLINE,NEW MILLENNIUM INC #V
107,FORD,ESCAPE,2012,HYBRID,DAMMA CAB CORP
5977,TOYOTA,CAMRY,2013,HYBRID,HUNDAL CAB INC
3469,FORD,ESCAPE,2012,HYBRID,YAQEEN CAB CO
833,FORD,C-MAX,2014,HYBRID,MEDALLION FUNDING CHICAGO CORP IV
4848,TOYOTA,CAMRY,2016,HYBRID,HASAN ZANI CORP.
4855,TOYOTA,CAMRY,2015,HYBRID,HAMIT ZANI CORP
4895,TOYOTA,CAMRY,2019,HYBRID,SHAMPA TRANS INC
6568,TOYOTA,CAMRY,2013,HYBRID,J J B B INC
5393,TOYOTA,CAMRY,2013,HYBRID,ADRIATIC CAB CO
1821,TOYOTA,CAMRY,2016,HYBRID,NORIZA INC
182,TOYOTA,PRIUS,2014,HYBRID,DAMMA CAB CORP
5872,FORD,ESCAPE,2012,HYBRID,LUCKY SEVEN CHICAGO THREE INC.
5324,TOYOTA,CAMRY,2016,HYBRID,HAMADOU INC
4122,FORD,ESCAPE,2011,HYBRID,IYASSU INC
6147,TOYOTA,COROLLA,2015,HYBRID,LONDON TAXI INC
428,TOYOTA,CAMRY,2012,HYBRID,MCCAB VII CORP.
5638,TOYOTA,CAMRY,2017,HYBRID,"TAXI MEDALLION GROUP, LLC SERIES 32"
5239,TOYOTA,CAMRY,2011,HYBRID,AGAPE CAB INC.
259,TOYOTA,CAMRY,2014,HYBRID,AL-MEDINA ENTERPRISES INC.
2078,TOYOTA,CAMRY,2011,HYBRID,J K T CAB CO
2599,TOYOTA,CAMRY,2014,HYBRID,STEFANIE AND AUDREY CAB CORP.
4970,TOYOTA,CAMRY,2012,HYBRID,SYDAL CORP.
927,TOYOTA,CAMRY,2015,HYBRID,MEDALLION FUNDING CHICAGO CORP IV
2716,TOYOTA,PRIUS,2013,HYBRID,"CHICAGO POLO XIV, INC."
1171,TOYOTA,CAMRY,2014,HYBRID,PAK AMERICAN TRANSPORATION INC
232,TOYOTA,PRIUS,2016,HYBRID,BABY CAB CORP.
3816,TOYOTA,PRIUS,2011,HYBRID,U S TAXI COMPANY
2600,TOYOTA,COROLLA,2015,GASOLINE,SHAH EXPRESS INC
