id,tagline
27022,It's The Coolest Job Ever.
503,Mayday
241259,It's time for a little madness.
810,Who's ready for Thirds?
68735,Two worlds. One home.
87101,Reset the future
10140,Return to magic. Return to hope. Return to Nar...
676,It takes a moment to change history. It takes ...
1858,Their war. Our world.
1966,The greatest legend of all was real.
675,Evil Must Be Confronted.
674,Dark And Difficult Times Lie Ahead.
8960,Bad Behavior. Bad Attitude. Real Hero.
6479,The last man on Earth is not alone
118,Willy Wonka is semi-sweet and nuts.
2062,He's dying to become a chef.
272,Evil fears the knight.
10527,Still together. Still lost!
18360,When the lights go off the battle is on.
2080,Witness the Origin.
605,Everything that has a beginning has an end.
109445,Only the act of true love will thaw a frozen h...
604,Free your mind.
76338,Delve into the darkness
76341,What a Lovely Day.
10195,Two worlds. One hero.
13053,Fully Awesome. Ridonculous. Let It Begin.
19585,The world needs bigger heroes
57165,Feel the Wrath
62213,Every Family Has Its Demons
177677,Desperate Times. Desperate Measures.
7978,When the moon is full the legend comes to life
5559,Born to bee wild.
49444,Prepare for the Year of Awesomeness!
10196,"Four nations, one destiny"
956,The Mission Begins 05:05:06.
117251,It will start like any other day.
50321,Mom needs a little space.
11619,Someone's Going Down
266647,Every legend has a beginning.
82703,He's Leaving His Mark On History
652,For passion. For honor. For destiny. For victo...
80321,"Six years ago, they disappeared without a trac..."
36669,He’s never been cooler.
43074,Who You Gonna Call?
95,The Earth's Darkest Day Will Be Man's Finest Hour
608,Same Planet. New Scum.
2310,Evil breeds pain.
140300,Grab destiny by the rice dumplings.
56292,No Plan. No Backup. No Choice.
81188,You better believe.
7552,Giving big businesses a run for their money!
616,"In the face of an enemy, in the heart of one m..."
147441,"Once brothers, now enemies."
13475,The future begins.
557,With great power comes great responsibility.
82702,The training is over.
205584,The battle for eternity begins
10048,Fear The Sky
13183,Justice is coming to all of us.  No matter wha...
944,The faces you love. The action you expect.
1927,Unleash the hero within
7364,Dirk Pitt. Adventure has a new name.
2114,Unleash a new reality
1771,When patriots become heroes
36643,As the countdown begins for the new millennium...
8619,The courage to do the impossible lies in the h...
50620,The epic finale that will live forever
65759,Every step counts.
1724,You'll like him when he's angry.
267935,The world is more giant than you can imagine.
281957,"(n. One who has returned, as if from the dead.)"
77950,SLO NO MO
44896,Heroes come in all different colors.
270946,The Movie Event That Will Blow Their Cover
2503,Remember everything. Forgive nothing.
9502,Prepare for awesomeness.
102899,Heroes don't get any bigger.
101299,Every revolution begins with a spark.
228161,Worlds Collide
74,They're already here.
8961,"If you can't stand the heat, get out of Miami."
417859,Live for danger. Fight for justice. Pray for m...
27576,Who is Salt?
86834,The end of the world is just the beginning.
17578,"This year, discover how far adventure will tak..."
673,Something wicked this way comes.
6972,Welcome to Australia!
82700,"Danger is real, fear is a choice"
10567,You have never seen anything like this.
181533,One Final Night to Save the Day.
38055,His brain is off the chain.
671,Let the Magic Begin.
49524,To protect and serve the living
22,Prepare to be blown out of the water.
131631,Fire burns brighter in the darkness
591,Seek the truth.
172385,"He's villainous, she's venomous."
36658,The time has come for those who are different ...
51497,Get the Fifth Gear.
58574,The game is afoot.
18823,Titans will clash.
861,"They stole his mind, now he wants it back."
1911,Prey for the living.
49040,There Was Never Just One
415,Strength. Courage. Honor. And loyalty.
8871,He puts the mean in green.
435,Where will you be?
955,Expect the impossible again.
2133,The storm is coming.
1979,Discover the secret of the Surfer.
87827,Believe The Unbelievable
1250,Hell Is About To Be Unleashed
324668,You know his name
9471,This summer the Angels are back.
70981,The Search for Our Beginning Could Lead to Our...
10996,A Little Goes A Long Way
68724,He can save us all.
2789,All the power in the universe can't change des...
97020,We've got the future under control.
7459,Go!
42888,How do you know it's love?
37834,Every Hit Man Deserves a Second Shot!
75612,Earth is a memory worth fighting for
1895,The saga is complete.
1894,A Jedi Shall Not Know Anger. Nor Hatred. Nor L...
585,We Scare Because We Care.
76170,"When he's most vulnerable, he's most dangerous."
1893,Every generation has a legend. Every journey h...
49519,Meet the first modern family.
12100,Honor Was Their Code.
290595,The story before Snow White
98566,Mysterious. Dangerous. Reptilious. You've neve...
49047,Don't Let Go
9619,The pressure is building...
308531,Raise some shell.
166424,Change is coming.
1593,Where History Comes To Life
254128,"A rescue pilot survived an earthquake, this is..."
714,Yesterday is a memory. Today is history. Tomor...
2024,Some things are worth fighting for.
163,Twelve is the new eleven.
787,Smart and sexy.
262500,One Choice Can Destroy You
2567,"For some men, the sky was the limit. For him, ..."
38745,Something big is going down.
40805,Breaking the Law to Protect It.
53182,Seize your glory!
41513,Smurf Happens.
13700,Bust a Moo
262504,Break the boundaries of your world
39254,"If you get one shot, make it real."
77931,Get ready to get naughty!
1639,"As the stakes get higher, the ride gets even f..."
80274,This is not a game.
1571,The old school cop is back!
120,One ring to rule them all
10204,Let your imagination soar.
8489,Float like a butterfly and sting like a bee.
10588,Don't mess with the hat.
2048,Laws are made to be broken.
1495,Be without fear in the face of your enemies. S...
10137,The Little Family Just Got Bigger
10198,Every Love Story Begins With a Kiss...
286217,Bring Him Home
1635,Your time will come...
24113,There's no such thing as a small affair.
9679,"Ice Cold, Hot Wired."
98,A Hero Will Rise.
180,The system is perfect until it comes after you.
672,Hogwarts is back in session.
36557,Everyone has a past. Every legend has a beginn...
869,You'll be sorry you were ever born human
280,It's nothing personal.
11322,America's Most Wanted.
4982,There are two sides to the American dream
36955,"When he said I do, he never said what he did."
18487,I can't get it out of my head. I'm gonna die t...
39451,"Kids bring everyone closer, right?"
27581,When the cops are busy... Our only hope is...
9268,He will erase your past to protect your future.
68718,"Life, liberty and the pursuit of vengeance."
11688,It's All About.....ME!
76163,Back for War.
2059,The greatest adventure history has ever revealed.
2486,"As darkness falls, the last dragon will choose..."
16523,There's one in all of us.
116711,Discover a world beyond your imagination
37710,It all started when he met a woman
9946,Prepare for the end.
1372,It will cost you everything.
106646,EARN. SPEND. PARTY.
414,"Courage now, truth always..."
563,The only good bug is a dead bug.
83542,Everything is Connected
41216,On his way to finding a legend...he will becom...
314,CATch her in IMAX
184315,"Before he was a legend, he was a man."
9016,Find your place in the universe.
18162,Right place. Wrong time.
138103,New team. New attitude. New mission.
257088,The only law that matters is gravity
10214,Who's next?
205775,Based on the incredible true story that inspir...
11692,Action's future has arrived...
22972,Chief Warrant Officer Roy Miller is done follo...
227973,The story of an underdog. And his dog.
29193,It's the oldest con in the book.
1734,The most powerful force on earth is about to b...
3131,America was born in the streets.
9408,"In the coldest place on Earth, he's the hottes..."
9890,The wives of Stepford have a secret.
855,Leave No Man Behind.
77953,May The Best Loser Win.
18,There is no future without it.
37786,Carrie on.
10501,They came for the gold... they stayed for the ...
57800,"Manny, Diego, and Sid embark upon another adve..."
150689,Midnight is just the beginning.
7980,The story of a life and everything that came a...
12,"There are 3.7 trillion fish in the ocean, they..."
122,The eye of the enemy is moving.
121,A New Power Is Rising.
68737,"When darkness falls, the son will rise. When t..."
1995,Born into Wealth. Groomed by the Elite. Traine...
157353,"Yesterday, Dr. Will Caster was only human..."
331,"This time, it's not just a walk in the park!"
61791,Evolution Becomes Revolution.
8204,Their World Is Closer Than You Think.
47964,Yippee Ki-Yay Mother Russia
10733,You will never forget
9806,"No gut, no glory"
1408,The Course Has Been Set. There Is No Turning B...
32657,Worlds Collide
607,Protecting the Earth from the scum of the univ...
863,The toys are back!
44048,"1,000,000 Tons. 100,000 Lives. 100 Minutes."
5175,Get ready for a second Rush!
2655,He was the perfect husband until his one mista...
22794,Prepare to get served.
8355,You Won't Believe Your Ice!
116745,"Stop Dreaming, Start Living"
4327,Get Some Action
1422,Lies. Betrayal. Sacrifice. How far will you ta...
10674,"This time, the princess saves the prince."
7446,The movie they think they're making... isn't a...
65754,Evil shall with evil be expelled.
1572,Think fast. Look alive. Die hard.
10528,Nothing escapes him.
271969,First to finish. Last to die.
10865,Atlantis is waiting...
258509,Fast & furry-ous
2253,Many saw evil. They dared to stop it.
10661,Lather. Rinse. Save the world.
257344,Game On.
644,David is 11 years old. He weighs 60 pounds. He...
10756,Check your pulse at the door... if you have one.
686,"If it's just us, it seems like an awful waste ..."
9383,What would you do if you knew you couldn't be ...
179,The truth needs no translation.
76285,"Where There Are Gods, There Are Monsters."
1996,Adventuress Lara Croft goes on a quest to save...
291805,You Haven't Seen Anything Yet
10003,Never reveal your name. Never turn your back. ...
1535,It's not how you play the game. It's how the g...
2067,Let There Be Life.
46195,1 out of every 8 Americans is afraid of flying...
2277,One robot's 200 year journey to become an ordi...
10357,The coast is toast
4477,They come from different worlds. They fight fo...
8665,Fate has found its hero.
9387,Thief. Warrior. Gladiator. King.
921,One man's extraordinary fight to save the fami...
4464,The hopes of a nation rode on a long shot.
664,The Dark Side of Nature.
8358,"At the edge of the world, his journey begins."
9836,WARNING: May Cause Toe-Tapping.
2502,They should have left him alone.
9772,The fate of a nation rests on the courage of o...
161,Are you in or out?
52451,Every legend has a new beginning.
76492,Where monsters go to get away from it all
4523,This fairytale princess is about to meet a rea...
59961,No one is safe
10481,Meet Two Unlikely Heroes With A Bone To Pick.
59108,Ordinary guys. An extraordinary robbery.
1581,It's Christmas Eve and we are going to go cele...
9798,It's not paranoia if they're really after you.
22897,First comes marriage. Then comes divorce. And ...
298,What are the odds of getting even? 13 to one.
7484,One Fur All & All Fur One
157350,What makes you different makes you dangerous.
853,Some Men Are Born To Be Heroes.
10159,cut to the chase
9593,This isn't the movies anymore.
1904,My world is as forbidden as it is fragile; wit...
9615,"On the streets of Tokyo, speed needs no transl..."
51052,Ever wonder how 2 Billion presents get deliver...
297,Sooner or later everyone does.
9884,What would you do if you lost everything?
16858,All that work. All that glitter. All that pain...
62764,The Snow White legend comes alive.
22538,Get the hot girl. Defeat her evil exes. Hit lo...
9341,Earth has a deadline.
12107,The Klumps are back!
9637,Get a Clue
49049,Judgement is coming
9339,What If You Had A Remote... That Controlled Yo...
16281,The Most Fun You'll Ever Have... BEING SCARED!
39691,Just like real spies... only furrier.
8247,anywhere is possible.
11253,Saving the world is a hell of a job.
8452,Are You Who You Think You Are
310,In Bruce we trust
27578,Choose Your Weapon.
954,Expect the Impossible.
70160,May The Odds Be Ever In Your Favor.
45243,The Wolfpack Is Back
364,"The Bat, the Cat, the Penguin."
7518,Taking back the neighborhood... One snack at a...
11544,He's coming to our galaxy.
9986,"Something unexpected, unbelievable, unforgetta..."
8656,Heaven and Earth are about to collide.
146216,The best never rest.
9291,"If you can't get out, get even."
55301,This holiday it's gonna get squeaky.
109418,Just because they're a little older doesn't me...
11665,Saving The World...And Loving It!
6964,Schmucks are people too.
11324,Someone is missing.
12193,"His father, her mother, his mother and her fat..."
9928,You can shine no matter what you're made of.
754,"In order to catch him, he must become him."
10202,Whatever they dream up... he has to survive.
4147,Pray for Michael Sullivan.
50546,Sometimes a guy's best wingman... is a wingwoman
1701,They were deadly on the ground; Now they have ...
13027,Don't walk. Run.
2289,Find the strength. Find the courage. No matter...
20504,Some will kill to have it. He will kill to pro...
9574,Catch it if you can!
11618,Some houses are born bad.
2300,Get ready to jam.
12096,Pardon His French.
10200,12.12.08 is the Day the Earth Stood Still
8834,What if your most paranoid nightmares had just...
228150,War never ends quietly.
6068,"After this week in paradise, they’re going to ..."
41515,Life's a Pic-A-Nic
9023,Leader. Hero. Legend.
38317,Welcome to his jungle.
2157,"Danger, Will Robinson!"
14462,This summer everything is under control.
161795,Your future is set...
159824,They're back to raise a little terror
2135,The greatest adventure THROUGH all time!
9822,Survival is an instinct.
9705,Log On. Hack In. Go Anywhere. Get Everything.
1656,The original caped crusader is back!
12159,After life there is more. The end is just the ...
9678,He's Never Been To Earth. He's Never Even Slep...
4442,Eliminating Evil Since 1812.
75,Nice planet. We'll take it!
9433,They were fighting over a woman when the plane...
19959,How do you save humanity when the only thing t...
11973,You'll never believe how close we came
11228,No air. No escape. No time.
77951,The Greatest Adventure in 70 Million Years
5491,Take Back The Planet
10715,Real life has never been so animated.
10197,"This Holiday Season, Be Italian"
9562,They had to travel into the past to save the f...
9922,The year is 2013. One man walked in off the ho...
9447,This little pig went to the city...
274854,Hunt forever.
8870,Not A Sound. Not A Warning. Not A Chance. Not ...
9992,Adventure awaits in your own backyard.
36970,Explore the depths of our planet's oceans.  Ex...
10077,Some Rules Should Never Be Broken.
76649,No warning. No escape.
453,I need to believe that something extra ordinar...
8587,Life's greatest adventure is finding your plac...
72545,Believe the Impossible. Discover the Incredible.
109451,Something big was leftover.
9533,Before the Silence.
2023,Unbridled. Unbroken. Unbeaten.
71880,His twin sister is coming for the holidays... ...
584,How Fast Do You Want It?
309809,Growing up isn't the problem... forgetting is.
4858,Do not trust anyone. Do not show emotion. Do n...
17711,This summer it's not the same old bull.
328111,Think this is what they do all day?
8698,The power of seven become a league of one.
93456,Back 2 Work
602,Earth. Take a good look. It might be your last.
330,Something has survived.
953,Someone's got a zoo loose.
9693,The future's a thing of the past.
36657,Evolution Begins
8909,Choose your destiny.
9802,Alcatraz.  Only one man has ever broken out.  ...
950,The Ice age is melting away.
1824,Imagine having to win over the girl of your dr...
2976,"When you follow your own beat, the world will ..."
11026,Go back to where the horror began.
332,The greatest hero ever assembled.
75656,4 amazing magicians. 3 impossible heists. 1 bi...
38365,Boys will be boys. . . some longer than others.
594,Life is waiting.
15189,No stray gets turned away.
11678,The Mountain Will Decide.
6538,Based on a true story. You think we could make...
10555,The story of what happens when one little fish...
1125,One Dream Will Change Everything
4551,Everyone is looking for the next big hit
612,The world was watching in 1972 as 11 Israeli a...
9567,He was trained to follow orders. He became a h...
37821,Perfect wife. Perfect target.
203801,Saving the world never goes out of style.
2539,Every family has a hero.
9297,The House is . . . ALIVE!
3172,"Two's company, three's a crime."
6520,Their greatest battle would be for her love.
37958,The Gods need a hero.
2026,Every Second Counts
7450,"When Earth Ends, The Adventure Begins."
9425,Left for dead on a remote planet for obsolete ...
25769,"The rules are simple. You break them, you die..."
23685,"If It Yells, If It Swings, It's Got To Be Monk..."
11866,"Out of the ashes, hope will rise."
9741,Some things are only revealed by accident.
211672,"Before Gru, they had a history of bad bosses"
23629,You will be unprepared
8688,Believe everything except your eyes.
10153,"A thousand feet beneath the sea, the blackest ..."
153518,Why so angry?
8676,This February True Love Takes a Dive.
20829,"George Simmons was prepared to die, but then a..."
4349,How do you stop an enemy who isn't afraid to die?
9718,The story of a man who could only count to #1
10808,The doctor is in again.
197,Every man dies. Not every man truly lives.
25,Welcome to the suck.
35,See our family. And feel better about yours.
11086,Sometimes your life comes into focus one frame...
10477,Get ready for the race of your life.
1997,"Two infant tiger cubs, separated from their pa..."
6947,There is no turning back
3050,He doesn't just talk to the animals!
2675,It’s not like they didn’t warn us.
809,Once upon another time...
920,Ahhh... it's got that new movie smell.
4806,Catch her if you can.
7451,A New Breed Of Secret Agent.
228165,He's leaving his world behind.
3595,Someone is going to pay.
16869,Once upon a time in Nazi occupied France...
879,What if Peter Pan grew up?
1573,Die Harder
9257,You're either S.W.A.T. or you're not.
1903,"Forget everything you know, and open your eyes."
9697,Time is running out for a happy ending.
395,Whoever wins... We lose
23398,The Boys are back in town... and they have com...
10590,400 U.S paratroopers. 4000 Vietnamese soldiers...
117263,When our flag falls our nation will rise.
200,The battle for paradise has begun.
44943,It's not war. It's survival.
587,An adventure as big as life itself.
10395,The animal is out.
57212,Separated by War. Tested by Battle. Bound by F...
152760,It was the greatest art heist in history
2756,There's everything you've ever known about adv...
33909,Gordon never gives up.
49017,Every bloodline has a beginning
9882,On November 6th our freedom is history
2270,This Summer A Star Falls. The Chase Begins.
978,At the end of the world his real journey began.
44564,Two best friends. Nothing could come between t...
3132,Two Mismatched Partners. One Messed Up Case!
8814,No one gets out alive.
8427,Attitude meets espionage.
52520,Vengeance Returns
80585,Nothin' but a good time
10592,"Beyond Courage, Beyond Honor."
49021,May the best man live.
11535,Go Ballistic
11258,"In the worst storm in living memory, one guard..."
12610,Every BODY needs a hero
59981,There's trouble in OZ...
201088,We are no longer in control.
5137,Who will save us?
3093,Everything interesting begins in the mind
107846,No one breaks out alone.
188207,Every Man Has a Destiny
4614,"27,000 nuclear weapons. One is missing."
24021,It all begins ... With a choice.
11371,There are no partners in crime
20352,Superbad. Superdad.
11517,"Get on, or GET OUT THE WAY!"
214756,"Ted is Coming, Again."
26428,"Alexandria, Egypt. 391 A.D. The World Changed ..."
9824,"We're not your classic heroes, we're the other..."
48988,"One Week, No Rules"
9008,Two men driven to tell the truth... whatever t...
300673,"32 survivors, room for 12."
12113,Trust no one. Deceive everyone.
38778,Takes One To Know One.
72331,Are you a patriot or a vampire?
1844,The trap is set.
846,Fight the Future
9703,The end of an empire...the beginning of a legend.
857,The mission is a man.
136797,For honor. For love. For redemption.
3981,He has the power to hear everything women are ...
425,They came. They thawed. They conquered.
6171,A circle of friendship. A web of mystery. A pa...
72976,With the moral courage and fierce determinatio...
603,Welcome to the Real World.
568,"Houston, we have a problem."
9021,What's Christmas Fun without some Reindeer Games?
82695,Fight. Dream. Hope. Love.
9489,Someone you pass on the street may already be ...
12133,They grow up so fast.
9342,No one has seen his face... but everyone ... k...
41733,Leave Your Comfort Zone
227306,Survival. Resilience. Redemption.
5551,Space will never be the same.
9350,The height of adventure.
9208,Prepare to Go Ballistic.
4244,Nobody ever grows up quite like they imagined.
1852,The world saw evil that day. Two men saw somet...
11820,"In a world that told them how to think, she sh..."
76493,kurd
345,Cruise. Kidman. Kubrick.
196867,It's a Hard Knock Life
256591,Never Drop The Con.
59962,It's SPY Against SPY
36648,The final hunt begins.
9440,What went down on the way to the top.
71679,The Ultimate Battle Begins
10483,Get ready for a killer race.
11412,What's forgotten is not always gone.
6795,Adventure Is Waiting
550,Mischief. Mayhem. Soap.
11170,From the ashes we rose.
9292,Danger is his middle name.
10783,When they put their heads together... it's a n...
100241,"In the battle between good and evil, an immort..."
9947,Looks can kill
189,There is no justice without sin.
12618,In a perfect world...they never would have met.
253412,The Storm Awaits.
1427,Based on the best-selling novel
818,He's still evil... He's still deadly... and he...
16577,Have a blast.
329,An adventure 65 million years in the making.
12160,The epic story of love and adventure in a lawl...
9331,The war of drugs would lead him to the war of ...
300168,When the Eagle meets the Dragon
9072,Big things come in small packages
3536,Heroes are ordinary men who do extraordinary t...
9087,Why can't the most powerful man in the world h...
12177,His Karma is Huge
12138,Crime Is King.
273248,No one comes up here without a damn good reason.
9955,Kick Some Ice.
50359,"Candy, chicks and rock 'n' roll."
1271,"Spartans, prepare for glory!"
693,Misery loves family.
14306,Heel the love.
497,Miracles do happen.
11199,A lot can happen on the road to nowhere.
9982,"When it comes to saving the world, it helps to..."
210577,You don't know what you've got 'til it's...
2501,He was the perfect weapon until he became the ...
710,No limits. No fears. No substitutes.
2275,Go behind the lies.
37165,On the air. Unaware.
9837,The Power Is Real.
10708,Who's your daddy?
136400,"2 Guns, 1 Bank."
10992,Things Are Gonna Get Hairy!
9654,Get in. Get out. Get even.
2642,Over. Done. Finished. A comedy about love at l...
8916,Every ant has his day.
19899,It may be paradise... but it's no vacation.
2119,You can't stop the thunder.
9641,Same Big Family... Even Bigger Adventure.
294254,The Maze Was Just the Beginning.
38167,Let Yourself GO
5994,What if you made different choices? What if yo...
39514,Still armed. Still dangerous. Still got it.
9563,Play or be Played.
1538,It started like any other night.
9334,Warrior. Legend. King.
11128,Their greatest challenge lies in rescuing one ...
75780,The Law Has Limits. He Does Not.
8914,Bigger. Smarter. Faster. Meaner.
13576,Like You've Never Seen Him Before
39538,Nothing spreads like fear
10628,He stole the money... And he's not giving it b...
14836,Be careful what you wish for.
8645,We've Sensed It. We've Seen The Signs. Now... ...
9509,"Creasy's art is death, and he is about to pain..."
10067,It's going to be a ruff day.
9384,They're the man.
9279,"Two Dads, One Toy, No Prisoners."
1487,From the Dark Side to Our Side.
9422,Justice has its price.
77174,It's all fun and games until someone raises th...
4824,How do you stop an assassin who has no identity?
9620,Remember the future.
9302,"Every Day we Have, is One More Than We Deserve."
10199,Small Mouse. Big Dreams
10771,Suit up for action!
3512,Last time he rocked the boat. This time the sk...
137094,Trust no one.
267860,The world's leaders have assembled. So have th...
8078,It's already too late.
7485,Yesterday was about honor. Today is about just...
170687,When troubles strikes friends stack together
6435,"For two sisters from a family of witches, fall..."
137106,The story of a nobody who saved everybody.
10040,You might feel a little prick
6278,Fight Fire With Fire
82682,No Names. No Badges. No Mercy.
17610,Meet your ancestors
22954,His people needed a leader. He gave them a cha...
16995,Find The Truth
16558,Outwit. Outspy. Outsmart. Outplay. Then get out.
9849,The martian has landed. There goes the neighbo...
5820,"In 141 years, there's never been a traitor in ..."
16866,Something strange is coming to their planet...Us!
201,A generation's final journey... begins.
11775,They can't keep their hands off each others as...
87825,Whatever Life Throws at You
12201,Some secrets take us to the edge.
11015,The Next Evolution In Terror.
9932,Back in therapy
13389,Most people respect the badge. Everybody respe...
8838,Someone knows too much.
17332,Life has a mind of its own
4958,It Was Just A Moment Ago.
786,Experience it. Enjoy it. Just don't fall for it.
9513,The Ego has landed.
11679,Prepare for the next level
38321,Vampire Killer
8413,Infinite Space - Infinite Terror
10052,When someone you love dies... are they gone fo...
9676,Inspired by the most notorious unsolved murder...
9664,Inspired by a true story
2100,A Castle Can Only Have One King
10384,"In the farthest reaches of space, something ha..."
137321,This is not a true story. This is true love.
123553,You have been chosen
11260,There's a Whole Other World Going on Inside of...
9009,"This Season, The Mystery Of The Darkness Will ..."
11374,Fame. Be careful. It's out there.
2309,Every story ever written is just waiting to be...
8285,I'm gonna kill you all kinds of dead.
210860,Sophistication Has a Name.
2312,Rise and fight
9839,Where hope survives.
13922,The most daring rescue mission of our time is ...
293660,Witness the beginning of a happy ending
9713,The Comedy Where Nothing's Sacred!
190859,The most lethal sniper in U.S. history.
257445,The stories are alive.
9007,It's a wonderful afterlife.
889,Get ready to rock!
1370,The first was for himself. The second for his ...
4942,"If Love Is a Game, Who'll Make the First Pass?"
24438,We're not in Manhattan anymore.
116741,Hiring them was a brilliant mistake.
35791,She's back...And she's bringing a few of her f...
72431,High-Octane Action and Daring Dogfights!
1813,Evil has its winning ways.
87428,The story of a child… and his son.
8840,You will believe.
10589,Who will walk away?
71676,He Rides Again.
10022,Welcome to the infantry.
11358,One man will stand up for what's right.
13,"The world will never be the same, once you've ..."
6477,Get your squeak on!
1597,First comes love. Then comes the interrogation.
10530,An American legend comes to life.
1924,You'll Believe a Man Can Fly!
9327,"Inside Sherman Klump, a party animal is about ..."
8488,The cure for the common man.
10603,Watch out!
8273,Forever hold your piece.
109424,Out here survival is everything.
35056,One ordinary couple. One little white lie.
8839,Get an afterlife
156022,What do you see when you look at me?
8963,Danger runs deep.
9315,If Someone Took Everything You Live For... How...
8984,Sex Is Power.
795,She didn't believe in angels until she fell in...
24,Go for the kill.
11353,The con is on.
393,The bride is back for the final cut.
9618,Two of L.A.'s top rival cops are going to have...
9374,In one small bottle... The fountain of youth. ...
8584,The old west meets the far east.
2320,Fasten your seat belts
1729,The battle for eternity is the fantasy of a li...
175574,Hang On To Your Nuggets
8077,The bitch is back.
8818,The Most Anticipated Motion Picture Event of T...
8195,Your ally could become your enemy.
10586,Prey For The Hunters
116149,The Adventure Begins
80035,Got Protection?
10632,Some men should not be found.
1792,"Whatever happens to the boys, one thing is cer..."
13260,Putting the funk into the dunk.
72197,It's A Plunderful Life
3580,"To find her son, she did what no one else dared."
12123,Reaction Time 8-4-96
9566,All fans have a favorite player.  This one has...
9833,The classic musical comes to the big screen fo...
4517,Woman. Warrior. Queen.
8202,The Perfect World Meets The Perfect Assassin
16072,The nations heart was touched by...
34314,"If you weren't afraid of flying before, you wi..."
19724,What if your daughter's imagination... Was the...
145220,Taking the world by farce
42297,It takes a legend... to make a star
2841,Never let go
802,How did they ever make a movie of ...
10375,Survival is a Killer.
36586,Faster. Sharper. Deadlier.
11321,Seven names. Seven strangers. One secret.
70074,Revenge Never Gets Old.
242,All the power on earth can't change destiny.
9621,It's a heck of a place to find yourself
1819,Two's company. Dupree's a crowd.
8536,The Man of Steel meets his match!
8046,Life doesn't play by the rules.
1717,Some people will do anything to gain power. So...
479,"Still the man, any questions?"
9444,Discover the Adventure Behind the Greatest Mys...
824,No Laws. No Limits. One Rule. Never Fall In Love.
11456,He will do anything to protect his family.
261023,Keep your enemies close.
3683,They fight for their country but they die for ...
22803,The System Must Pay.
285923,A double feature that'll tear you in two!
39437,The past has a life of its own.
1950,Change your game. Change your life.
640,The true story of a real fake.
97630,The Greatest Manhunt in History
9767,. . . pick a side.
11631,Take a trip down the aisle you'll never forget
32856,A Love Story. More or Less.
6519,Cousins. Outlaws. Thrillbillies.
8741,Every man fights his own war.
49520,Who says men can't change?
1850,"Hello, my name is Andy and this is my movie."
524,No one stays at the top forever.
26389,Two agents. One city. No merci.
11817,A power beyond measure requires a protector wi...
2123,From gentle to mental.
9907,What happens in the barn stays in the barn
9969,There glows the neighborhood
18239,The Next Chapter Begins.
808,The greatest fairy tale never told.
