id,budget,revenue
147441,140000000,268031800
13475,150000000,385680400
557,139000000,821708600
82702,145000000,609123000
205584,140000000,150680900
10048,135000000,76932940
13183,130000000,185259000
944,140000000,285444600
1927,137000000,245360500
72559,130000000,371876300
7364,130000000,119269500
2114,137000000,85131830
1771,140000000,370569800
36643,135000000,361832400
8619,150000000,212011100
50620,120000000,829000000
65759,130000000,150406500
1724,150000000,163712100
267935,140000000,183345600
281957,135000000,532950500
77950,135000000,282570700
44896,135000000,245724600
270946,132000000,373552100
2503,70000000,442824100
9502,130000000,631744600
102899,130000000,519312000
101299,130000000,847423500
228161,135000000,368871000
74,132000000,591739400
8961,130000000,273339600
417859,130000000,554987500
27576,110000000,293329100
86834,125000000,362637500
17578,130000000,371940100
673,130000000,789804600
6972,130000000,49554000
82700,130000000,243843100
10567,127500000,354248100
181533,127000000,349424300
38055,130000000,321887200
671,125000000,976475600
49524,130000000,61648500
22,140000000,655011200
131631,125000000,752100200
591,125000000,767820500
172385,103000000,500188400
36658,110000000,407711500
51497,125000000,626137700
58574,125000000,334615000
18823,125000000,232713100
861,65000000,261317900
1911,160000000,61698900
49040,130000000,276572900
415,125000000,238207100
8871,123000000,345141400
435,125000000,544272400
955,125000000,546388100
2133,120000000,325756600
1979,130000000,289047800
87827,120000000,609016600
1250,110000000,228738400
324668,120000000,415484900
9471,120000000,259175800
70981,130000000,403170100
10996,120000000,169956800
68724,115000000,286140700
2789,105000000,115772700
97020,120000000,242689000
7459,120000000,93945770
42888,120000000,48668910
37834,117000000,261930400
75612,120000000,286168600
1895,113000000,850000000
1894,120000000,649398300
585,115000000,562816300
76170,120000000,415440700
1893,115000000,924317600
49519,135000000,585178900
2395,97250400,132900000
12100,115000000,77628260
290595,115000000,164602200
98566,125000000,477200000
49047,105000000,716392700
9619,116000000,178127800
308531,135000000,245623800
166424,120000000,167977600
1593,110000000,574480800
254128,110000000,470490800
714,110000000,333011100
2024,110000000,215294300
163,110000000,362744300
787,110000000,478207500
262500,110000000,295238200
2567,116000000,102000000
38745,112000000,237382700
40805,120000000,227817200
53182,110000000,337580100
41513,110000000,563749300
13700,110000000,103951500
262504,110000000,179246900
39254,110000000,299268500
77931,105000000,347434200
1639,160000000,164508100
80274,110000000,125537200
1571,110000000,383531500
120,93000000,871368400
10204,110000000,72178900
8489,107000000,87713820
2048,120000000,347234900
1495,130000000,211643200
10137,133000000,300135400
10198,105000000,267045800
286217,108000000,630161900
1635,126000000,162949200
24113,90000000,10372290
9679,90000000,237202300
98,103000000,457640400
180,102000000,358372900
672,100000000,876688500
36557,150000000,599046000
869,100000000,362211700
280,100000000,520000000
11322,80000000,214104600
4982,100000000,266465000
36955,115000000,378882400
18487,100000000,150166100
39451,100000000,310650600
27581,100000000,170432900
9268,100000000,242295600
68718,100000000,425368200
10545,100000000,100138900
11688,100000000,169327700
76163,100000000,312573400
2059,100000000,347451900
2486,100000000,249288100
16523,100000000,100086800
116711,100000000,268426600
37710,100000000,278731400
9946,100000000,211989000
1372,100000000,170877900
106646,100000000,392000700
414,100000000,336529100
563,105000000,121214400
83542,102000000,130482900
41216,80000000,140073400
314,100000000,82102380
184315,100000000,243400000
9016,140000000,109578100
18162,100000000,68688830
138103,90000000,206172500
257088,105000000,133718700
205775,100000000,93820760
11692,100000000,7103973
22972,100000000,94882890
227973,99000000,246233100
29193,10000000,13835130
1734,98000000,433013300
3131,100000000,193772500
76758,94000000,95311430
9408,85000000,149044500
9890,90000000,102000000
855,92000000,172989700
18,90000000,263920200
37786,100000000,288347700
10501,95000000,76432730
57800,95000000,877244800
150689,95000000,543514400
7980,65000000,93525590
12,94000000,940335500
122,94000000,1118889000
121,79000000,926287400
68737,95000000,114178600
1995,115000000,274703300
157353,100000000,103039300
331,93000000,368780800
61791,93000000,482860200
8204,90000000,162839700
47964,92000000,304654200
10733,145000000,25819960
9806,92000000,631442100
1408,98000000,10017320
32657,95000000,226497200
607,90000000,589390500
863,90000000,497366900
44048,100000000,167805500
5175,90000000,347325800
2655,100000000,155464400
22794,100000000,242988500
8355,90000000,886686800
116745,90000000,188133300
4327,92000000,264105500
1422,90000000,289847400
10674,90000000,304320300
7446,92000000,188072600
65754,90000000,232617400
1572,90000000,366101700
10528,90000000,524028700
271969,100000000,94061310
10865,120000000,186053700
2253,75000000,200276000
10661,90000000,201596300
257344,88000000,243637100
644,100000000,235926600
10756,90000000,182290300
686,90000000,171120300
9383,95000000,190213500
179,80000000,162944900
76285,90000000,174578800
1996,95000000,156505400
291805,90000000,334901300
10003,68000000,118063300
1535,92000000,143049600
2067,90000000,60874620
46195,90000000,484635800
2277,100000000,93700000
4477,90000000,140807500
8665,100000000,35168970
9387,20000000,79114080
921,88000000,108539900
49852,90000000,16178960
4464,87000000,148336400
664,92000000,494471500
8358,90000000,429632100
9836,100000000,384335600
2502,75000000,288500200
9772,85000000,315156400
161,85000000,450717200
52451,75000000,132274500
76492,85000000,358375600
4523,85000000,340487700
59961,85000000,208076200
10481,85000000,183611800
59108,75000000,152930600
1581,85000000,194168700
9798,90000000,250649800
22897,85000000,219103700
298,85000000,311312600
7484,85000000,197309000
157350,85000000,288747900
853,68000000,96976270
10159,85000000,80916490
9593,85000000,137298500
1904,85000000,162243000
9615,85000000,158468300
297,90000000,142940100
9884,85000000,78382430
62764,85000000,183018500
22538,60000000,47664560
9341,60000000,74208270
12107,84000000,123307900
9637,84000000,275650700
49049,50000000,41037740
9339,82500000,237681300
16281,8000000,21028760
39691,85000000,112483800
8247,85000000,222231200
11253,85000000,160388100
1949,65000000,84785910
8452,82000000,96085480
310,80000000,484572800
27578,80000000,274470400
954,80000000,457696400
70160,75000000,691210700
45243,80000000,254456000
364,80000000,280000000
7518,80000000,343397200
11544,80000000,145771500
9986,85000000,144000000
8656,75000000,140464700
9291,82000000,190320600
55301,75000000,342695400
109418,80000000,246984300
11665,80000000,230685500
6964,80000000,266728700
11324,80000000,294804200
12193,80000000,163733700
9928,75000000,260697000
754,80000000,245676100
10202,80000000,212874400
4147,80000000,181001500
50546,80000000,214918400
1701,75000000,224012200
13027,80000000,178066600
2289,79000000,173013500
20504,80000000,157107800
9574,80000000,177977200
11618,80000000,91188900
2300,80000000,250200000
10200,80000000,233093900
8834,75000000,136982800
228150,68000000,211817900
6068,70000000,164000000
41515,80000000,201584100
9023,80000000,122563500
38317,80000000,169852800
2157,80000000,136159400
14462,80000000,96105960
159824,80000000,473227000
49948,80000000,90874570
2135,80000000,123729200
9705,102000000,147080400
1656,75000000,142400100
12159,85000000,71485040
4442,88000000,105316300
75,70000000,101371000
19959,80000000,122444800
11973,80000000,34566750
11228,80000000,159212500
77951,80000000,126546500
5491,44000000,21400000
10715,80000000,68514840
10197,80000000,53825520
9562,80000000,19480740
9922,80000000,17626230
9447,90000000,69131860
274854,90000000,146936900
8870,80000000,33463970
9992,86000000,107944200
10077,80000000,5989640
76649,130000000,117831600
453,60000000,313542300
8587,45000000,788241800
72545,79000000,355692800
109451,78000000,248384600
9533,78000000,209196300
2023,100000000,108103400
71880,79000000,149673800
584,76000000,236350700
309809,64000000,97571250
4858,80000000,15071510
17711,76000000,35134820
328111,75000000,875958300
8698,78000000,179265200
93456,76000000,970761900
602,75000000,816969300
330,73000000,229074500
953,75000000,532680700
9693,76000000,69959750
36657,75000000,296339500
8909,75000000,258270000
9802,75000000,335062600
950,80000000,660940800
1824,75000000,196482900
2976,50000000,90450010
11026,80000000,78000590
75656,75000000,117698900
38365,80000000,271430200
594,60000000,219417300
15189,35000000,73034460
11678,75000000,215663900
6538,75000000,119000400
10555,75000000,367275000
1125,70000000,154937700
4551,53000000,95226120
612,70000000,130358900
9567,70000000,85632460
37821,75000000,98159960
203801,75000000,108145100
2539,80000000,55041370
9297,75000000,140175000
3172,75000000,67631900
6520,55000000,127600400
37958,75000000,226904000
2026,52000000,77944720
7450,75000000,36754630
11375,75000000,51142660
9425,75000000,14567880
23685,75000000,5409517
11866,45000000,21009180
9741,75000000,248118100
211672,74000000,1156731000
23629,82000000,89792500
8688,73000000,103891400
10153,75000000,13100000
153518,73000000,349779500
8676,70000000,111231000
20829,75000000,61458980
4349,70000000,86658560
9718,72500000,162966200
10808,70000000,176104300
197,72000000,210000000
25,72000000,96890000
35,75000000,527068900
11086,72000000,37317560
10477,94000000,54744740
1997,74500000,62172050
6947,60000000,256697500
3050,71000000,294456600
2675,72000000,408247900
809,150000000,919838800
920,120000000,461983100
4806,70000000,309457500
7451,70000000,277448400
228165,74000000,311594000
3595,80000000,309492700
16869,70000000,319131000
879,70000000,300854800
1573,70000000,240031100
9257,80000000,116643300
1903,68000000,203388300
9697,75000000,42285170
395,70000000,171183900
23398,75000000,443140000
10590,75000000,114660800
117263,70000000,161025600
200,70000000,118000000
44943,70000000,202466800
587,70000000,122919100
57212,66000000,177584900
152760,70000000,154984000
2756,70000000,90000100
33909,70000000,134748000
49017,70000000,215529200
9882,70000000,116672900
2270,70000000,135560000
978,70000000,131457700
44564,70000000,67112660
3132,70000000,65977300
8814,60000000,55987320
8427,70000000,33561140
52520,70000000,160112700
80585,75000000,59418610
10592,70000000,32287040
49021,66000000,57777110
10550,70000000,19924030
11258,70000000,19870570
12610,75000000,13596910
59981,70000000,18662030
201088,70000000,17752940
5137,70000000,57958700
3093,70000000,38629480
107846,50000000,122915100
188207,70000000,61279450
4614,68000000,193000000
24021,68000000,698491300
11371,68000000,71069880
20352,69000000,543514000
11517,60000000,35431110
214756,68000000,217022600
26428,70000000,39041500
9824,68000000,29762010
48988,36000000,83160730
9008,90000000,60289910
300673,80000000,52099090
12113,70000000,113280100
38778,69000000,86387860
72331,69000000,112265100
1844,66000000,212404400
846,66000000,189198300
9703,67000000,25303040
857,70000000,481840900
136797,66000000,203277600
3981,70000000,374111700
425,59000000,383257100
6171,68000000,75715440
72976,65000000,275293400
603,63000000,463517400
568,52000000,355237900
9021,65000000,172855100
82695,61000000,441809800
9489,65000000,250821500
12133,65000000,128107600
9342,95000000,250288500
41733,65000000,211780800
227306,65000000,163442900
5551,65000000,128884100
9350,70000000,255000200
9208,50000000,150270100
4244,65000000,69700000
1852,63000000,162945900
76493,65000000,179379500
345,65000000,162091200
196867,65000000,133821800
256591,50100000,153963000
59962,65000000,156974600
36648,65000000,128905400
1880,4200000,38376500
71679,65000000,240159300
10483,45000000,73762520
11412,65000000,89456760
6795,65000000,64321500
550,63000000,100853800
11170,65000000,43545360
9292,65000000,17218080
100241,65000000,71154590
257,50000000,42093710
9947,43000000,56681570
189,65000000,39407620
12618,64000000,74608570
253412,55000000,203427600
1427,50000000,132180300
818,63000000,296655400
16577,65000000,44091070
329,63000000,920100000
12160,63000000,25052000
9331,62000000,215887700
300168,65000000,121545700
9072,64000000,101595100
3536,62000000,127666400
9087,62000000,107879500
12177,62000000,41819060
12138,62000000,18720180
273248,44000000,155760100
50359,63000000,183953700
1271,65000000,422610400
693,80000000,516642900
14306,60000000,244082400
497,60000000,284600000
9982,150000000,314432700
210577,61000000,369330400
2501,60000000,214034200
710,58000000,352194000
2275,60000000,149705900
37165,60000000,264118200
9837,70000000,218613200
10708,60000000,164433900
136400,61000000,131940400
10992,60000000,93375150
9654,60000000,176070200
2642,60000000,93354920
8916,60000000,171757900
19899,70000000,171844800
2119,60000000,157920700
9641,60000000,129181800
294254,61000000,311256900
38167,60000000,204594000
39514,58000000,71664960
9563,55000000,100230800
547,60000000,186883600
1538,65000000,217764300
9334,60000000,165333200
11128,60000000,74541710
75780,60000000,218340600
8914,60000000,73648230
39538,60000000,137551600
14836,60000000,124596400
8645,60000000,163403800
9509,70000000,130293700
10067,50000000,61112920
9384,60000000,170268800
9279,60000000,129832400
1487,66000000,99318990
9422,70000000,56702900
77174,60000000,107139400
4824,60000000,159330300
9620,60000000,96269810
10199,60000000,50877140
3512,60000000,104324100
137094,60000000,50549110
274479,60000000,101134100
267860,60000000,205754400
8078,70000000,162000000
7485,61000000,95697000
170687,60000000,108255800
6435,75000000,46683380
137106,60000000,469160700
6278,60000000,43061980
82682,60000000,105200900
17610,60000000,62357900
22954,60000000,122234000
16995,60000000,87784190
16558,78146652,60000000
9849,65000000,36850100
5820,60000000,77920350
16866,70000000,104945800
201,60000000,67312830
11775,60000000,119940800
12201,80000000,74901340
11015,60000000,33956610
9932,60000000,55003140
13389,60000000,73174570
17332,60000000,31720160
4958,80000000,39459430
786,60000000,47383690
11679,60000000,71073930
38321,60000000,78309130
14411,60000000,26288320
8413,60000000,26673240
10052,60000000,52322400
9676,50000000,49111200
9664,60000000,17800000
2100,72000000,27642710
10384,90000000,14828080
137321,60000000,30800230
123553,60000000,90565420
11260,60000000,50650080
9009,30000000,25473090
2309,60000000,57490370
8285,60000000,39031340
210860,60000000,30418560
381902,68490000,193677200
13922,80000000,10166500
293660,58000000,783113000
190859,58800000,542307400
257445,58000000,158162800
9007,58000000,102854400
889,83000000,59468280
1370,63000000,189015600
4942,58000000,41299490
24438,58000000,85280250
116741,58000000,44000000
35791,60000000,300228100
72431,58000000,50365380
1813,57000000,152944700
87428,70000000,58058370
8840,57000000,115267400
10589,60000000,61347800
71676,57000000,149217400
1722,57000000,62112900
10022,56000000,113006900
11358,56000000,57223890
13,55000000,677945400
6477,60000000,361366600
1597,55000000,330444000
10530,55000000,346079800
1924,55000000,300218000
9327,54000000,128769300
8488,70000000,368100400
8273,55000000,231449200
109424,55000000,95000000
35056,55000000,152263900
8839,50000000,287928200
156022,55000000,192330700
7303,55000000,154906700
8963,53000000,157387200
1402,55000000,307077300
9315,55000000,223387300
8984,55000000,214015100
795,55000000,198685100
24,30000000,180949000
393,30000000,152159500
9618,55000000,63408610
9374,55000000,149022600
8584,55000000,56932300
2320,55000000,121969200
58224,55000000,187361800
1729,55000000,127906600
175574,55000000,110000000
8077,50000000,159773500
8818,55000000,141047200
8195,55000000,41610880
10586,50000000,75000000
116149,55000000,259207200
80035,68000000,68267860
10632,55000000,34234010
1792,55000000,33828320
72197,60000000,118338400
3580,55000000,113020300
12123,50000000,60209330
9566,55000000,18626420
9833,70000000,154648900
4517,55000000,74237560
8202,62000000,52304000
16072,56000000,12923940
34314,55000000,11466090
145220,50000000,80383290
14623,57000000,28283640
42297,55000000,89519770
802,2000000,9250000
10375,55000000,6416302
36586,54000000,155010000
11321,55000000,168167700
70074,55000000,9489829
242,54000000,136766100
9621,57000000,52034890
1819,54000000,130431400
8536,54000000,190458700
8046,54000000,7266209
1717,55000000,9450897
479,46000000,107196500
9444,53000000,139804300
824,52500000,179213400
11456,75000000,54249290
261023,53000000,98837870
3683,90000000,65900250
22803,53000000,126690700
285923,67000000,25037900
640,52000000,352114300
97630,40000000,132820700
9767,52000000,204999700
11631,52000000,609841600
32856,52000000,216485700
6519,50000000,110803700
8741,52000000,98126560
49520,52000000,75450440
1850,82000000,47434430
524,52000000,116112400
26389,52000000,52826590
2123,51000000,149271000
9907,51000000,72779000
18239,50000000,709827500
808,60000000,484409200
38050,50200000,127869400
8367,48000000,390493900
9390,50000000,273552600
72105,50000000,549368300
2898,50000000,314178000
10312,50000000,202292900
109443,50000000,173649000
2022,50000000,171269500
37686,50000000,260096000
462,52000000,256271300
9919,50000000,177371400
187017,50000000,188441600
628,60000000,223664600
10201,70000000,225991000
302699,50000000,216972500
274167,50000000,242786100
224141,50000000,212902400
388,45000000,184376300
2112,90000000,161626100
10329,50000000,152022100
74465,50000000,120081800
13811,50000000,155446400
6877,50000000,88715190
10320,50000000,161451500
50646,50000000,142851200
8920,50000000,200804500
60308,50000000,110206200
6950,50000000,189859600
225574,50000000,222809600
13836,50000000,106304000
752,54000000,132511000
6038,50000000,88323490
9975,50000000,69834820
11451,50000000,66002000
12103,50000000,100020100
60304,50000000,224803500
2251,50000000,119137800
46529,50000000,144492800
231,50000000,94000000
300671,50000000,69411370
228326,50000000,97437110
9754,45000000,82800000
66,50000000,50068310
4421,50000000,48169160
2649,50000000,109423600
588,50000000,97607450
71552,50000000,234989600
9631,50000000,44547680
216282,50000000,160602200
306,50000000,119209000
928,50000000,41482210
205587,50000000,83719390
1577,45000000,129394800
9801,50000000,40203020
2116,50000000,55495560
9624,50000000,49000000
14199,50000000,69425970
1907,40000000,144056900
4599,50000000,49718610
22832,40000000,60462350
9879,50000000,113309700
38579,50000000,83761840
44603,50000000,105197600
11892,50000000,56714150
9691,50000000,30303070
1248,50000000,82169880
12220,50000000,58900030
72710,44000000,63327200
10782,50000000,42792560
9573,50000000,26199520
4959,50000000,60161390
10061,50000000,42277360
10386,70000000,23159300
421,50000000,34808400
316152,50000000,25035950
11615,50000000,38955600
241554,50000000,71561640
2252,51500000,55112360
11968,50000000,44434440
10047,60000000,66976320
38319,49900000,26121640
69668,50000000,38502340
9770,50000000,10541520
11212,50000000,16671500
10533,50000000,10382410
38363,22000000,24188920
9923,50000000,22944500
11863,50000000,9851610
18501,50000000,40828540
109491,60000000,60052140
329833,50000000,55969000
12634,50000000,6808550
47327,50000000,28931400
15268,50000000,12764200
10796,49000000,72700000
9548,49000000,20423390
18947,50000000,36348780
1900,48000000,207515700
89,48000000,474171800
198184,49000000,104399500
9481,73000000,151493700
4547,48000000,196397400
6415,75000000,108000000
181283,50000000,3324330
9896,48000000,85498530
167,48000000,50315140
1636,48000000,90383210
2148,58000000,25928720
5176,55000000,70016220
260346,48000000,325771400
1389,48000000,77745570
9894,47000000,102825800
8592,47000000,103738700
913,48000000,124305200
11091,48000000,35743310
1368,15000000,125212900
5393,47000000,38085780
9095,47000000,12379400
8874,38000000,299288600
320,46000000,113714800
199,46000000,150000000
20533,47000000,10539000
10684,46000000,100860800
1624,45000000,181000000
325789,25000000,15436810
113464,46000000,5200000
888,46000000,341631200
82675,45000000,376141300
4256,48000000,220673200
1493,45000000,212000000
88751,45000000,101702100
11130,40000000,95149440
9944,45000000,195268100
10731,45000000,117615200
7350,45000000,175372500
9869,45000000,178051600
4379,43000000,154749900
146233,46000000,122126700
2034,45000000,104876200
926,45000000,90683920
4248,45000000,141220700
64328,45000000,165184200
36647,45000000,131183500
7214,30000000,76669810
1537,45000000,94935760
9360,45000000,136885800
6282,45000000,113916500
508,40000000,244931800
9487,120000000,363258900
768,35000000,74558120
2636,45000000,170362600
10478,45000000,53854590
9981,45000000,56070430
7453,50000000,104478400
7737,45000000,148412100
232672,40000000,123494600
17379,45000000,38399960
82525,45000000,82966150
9759,25000000,56422690
9486,40000000,160583000
9906,50000000,55181130
841,40000000,30925690
4148,35000000,75225690
2207,55000000,65664720
9381,70000000,72108610
20856,45000000,57881060
5955,35000000,29400000
9899,45000000,38058340
9826,45000000,17300890
10858,44000000,13681760
11439,45000000,60222300
9457,45000000,11203030
12412,45000000,9323833
13184,45000000,42487390
2185,40000000,8493890
6639,45000000,4607608
38153,45000000,2154540
58233,45000000,160078600
116977,65000000,73706
68734,44500000,232324100
5503,44000000,368875800
27573,40000000,136000000
819,44000000,165615300
1369,44000000,300400400
10895,2600000,84300000
10935,44000000,3484331
834,50000000,111340800
228066,40000000,34227300
711,43000000,80049760
10027,45000000,50871110
11812,43000000,68696770
37233,42000000,270248400
37950,44000000,48190700
27582,40000000,51070810
64688,42000000,201585300
509,42000000,363889700
7443,45000000,224834600
5966,42000000,171963400
11066,40000000,70100000
136795,43000000,158674200
8095,31115000,71000000
11560,42000000,63781810
2637,32000000,55157540
709,32000000,156167000
49730,42000000,89162160
2749,60000000,56359980
9607,48000000,20915460
1830,42000000,24127900
79,31000000,177394400
54054,40000000,36893720
228967,44000000,12342630
46528,42000000,11087570
27936,33000000,14000000
65,41000000,215000000
9476,65000000,117487500
745,40000000,672806300
49527,42000000,46221190
73937,41000000,7448385
1885,8000000,90815560
168672,40000000,251171800
18240,40000000,317375000
10398,70000000,177841600
165,40000000,332000000
240832,40000000,126546800
216015,40000000,571006100
12279,38000000,197012000
1645,40000000,152266000
11007,40000000,190212100
193756,40000000,149295600
11287,40000000,107458800
259693,40000000,320170000
37799,40000000,224920300
10184,40000000,177259400
4257,45000000,178262600
4234,40000000,161834300
196,40000000,244527600
257091,40000000,111811500
6114,40000000,215862700
24803,40000000,129540500
109410,40000000,95020210
1213,40000000,128798300
100042,40000000,169837000
9036,40000000,120456000
257211,35000000,194564700
323675,40000000,124827300
9361,40000000,75505860
1677,40000000,124731500
187,40000000,158733800
7461,40000000,151161500
16538,41000000,91636990
9889,40000000,141069900
820,40000000,205405500
11565,40000000,138259100
6073,57000000,147845000
16996,20000000,136267500
193610,40000000,196781200
19912,40000000,186167100
296098,40000000,165478300
8007,40000000,91753200
32823,40000000,90029660
4380,50000000,170128500
11551,40000000,54682550
10336,40000000,87840040
11362,35000000,75395050
50348,40000000,85412900
48138,30000000,130786400
1124,40000000,109676300
227159,42000000,107670400
68179,40000000,74597640
1579,40000000,120175300
708,40000000,191185900
34851,40000000,126248800
1586,40000000,92913170
2044,40000000,114830100
9913,43000000,91974820
10761,40000000,84601680
209451,40000000,67347010
11975,40000000,45916770
4970,40000000,141591300
11831,36000000,74000000
440,40000000,41797070
11172,40000000,145896400
39513,40000000,97552050
82687,40000000,41863730
41446,40000000,97138690
8224,40000000,96618700
10537,38000000,34416890
225886,40000000,126069500
10385,40000000,36037910
55779,47000000,157887600
10647,40000000,55707410
11431,30000000,50451310
8850,25000000,48063440
64685,40000000,55247880
38357,40000000,58785180
10060,40000000,46442530
11398,40000000,30199100
1833,40000000,31670620
8970,75000000,29000000
9306,40000000,49627780
11370,40000000,27053820
1921,40000000,65754230
1683,40000000,62771060
203,500000,3000000
11858,40000000,24332320
62835,40000000,60965850
18937,40000000,38172500
13536,40000000,22433920
10718,40000000,46546200
10802,45000000,20350750
1887,40000000,60474340
10461,63600000,19412990
80278,42000000,180274100
12704,55000000,14375180
10315,40000000,46471020
16643,40000000,16872670
2687,40000000,14358030
194,10000000,173922000
8849,60000000,13395940
78698,40000000,24719220
30943,38000000,28121100
9544,40000000,18902020
24418,40000000,28169670
7288,40000000,19322140
10366,45000000,10667890
19898,33000000,20645330
15074,40000000,10959480
1272,50000000,32017800
72358,40000000,22044280
266396,40000000,13644290
9978,40000000,23937870
8271,20000000,117760100
10428,20000000,7563728
110415,39200000,86758910
9495,15000000,94000000
256040,40000000,100000000
24420,39000000,101229800
62214,39000000,35287790
16320,39000000,38869460
8842,39000000,6614280
9531,39000000,75850620
64807,40000000,44907260
12289,80341000,127814600
11529,30000000,180622400
20943,38000000,205298900
9488,38000000,119723400
193,38000000,120000000
44865,3860000,64076740
55787,38000000,114156200
10400,50000000,73956240
1957,38000000,51801190
256961,38000000,107597200
5852,53000000,29700000
622,38000000,58401900
11306,38000000,17380130
12508,57000000,16991900
25793,10000000,47536960
10534,38000000,10300000
1091,15000000,19629760
87421,38000000,98337300
10871,37000000,6482195
13600,55000000,17869050
68722,32000000,28258060
14324,38000000,5410749
14325,40000000,9793496
299687,38000000,109906400
312221,37000000,173567600
23168,37000000,154026100
76494,40000000,79700000
4944,37000000,163720100
10488,37000000,100076300
96721,38000000,90247620
334,37000000,48451800
23742,30000000,55583800
259694,38000000,112343500
62837,37000000,95404400
8966,37000000,392616600
8470,36000000,102244800
11001,65000000,117758500
138832,37000000,269994100
16911,36500000,21834840
2163,36000000,50159140
36670,36000000,160000000
23048,36000000,64572260
227735,36000000,52424530
2155,42000000,32168970
8409,36000000,44350930
222936,37000000,26250020
48171,37000000,96047630
782,36000000,12532780
75531,36000000,3003296
11802,37000000,63800340
18785,35000000,459270600
365222,36000000,156844800
817,33000000,310940100
268,35000000,411348900
943,35000000,321731500
22881,29000000,309208300
10054,35000000,147934200
51540,35000000,117000000
44264,38000000,252276900
350,35000000,326551100
152,35000000,139000000
109431,35000000,173965000
1598,35000000,182300000
8065,35000000,69823200
271718,35000000,140795800
11638,35000000,68915890
409,27000000,231976400
2118,35000000,126216900
11459,35000000,86369820
9348,35000000,113374100
377,1800000,25504510
8843,33000000,104155800
39486,35000000,60251370
1273,34000000,95609000
13920,32000000,52277480
50544,35000000,150483800
325133,35000000,108758500
140823,35000000,112544600
1883,34000000,48169910
89492,35000000,88058790
22949,35000000,92219310
12437,35000000,91353500
2959,35000000,69307220
11648,30000000,58405310
9366,35000000,41955000
1576,33000000,102984900
609,10700000,122200000
13051,35000000,85416900
49530,40000000,173930600
34806,35000000,77477010
49022,35000000,59901910
23479,35000000,35323290
11667,35000000,99423520
423,35000000,120072600
10066,40000000,68766120
